Date,JKM,TTF,
01/07/2010,6.75,6.05,
02/07/2010,6.75,6.05,
05/07/2010,6.75,6.16,
06/07/2010,6.75,6.22,
07/07/2010,6.75,6.08,
08/07/2010,7.40,6.20,
09/07/2010,7.40,6.20,
12/07/2010,7.40,6.15,
13/07/2010,7.40,6.10,
14/07/2010,7.40,5.86,
15/07/2010,7.75,5.82,
16/07/2010,7.75,5.68,
19/07/2010,7.75,5.53,
20/07/2010,7.75,5.34,
21/07/2010,7.75,5.00,
22/07/2010,7.75,5.20,
23/07/2010,7.75,5.28,
26/07/2010,7.75,5.23,
27/07/2010,7.75,5.02,
28/07/2010,7.75,5.07,
29/07/2010,8.05,5.24,
30/07/2010,8.05,5.42,
02/08/2010,8.05,5.54,
03/08/2010,8.05,5.50,
04/08/2010,8.05,5.61,
05/08/2010,7.65,5.59,
06/08/2010,7.65,5.49,
09/08/2010,7.65,5.52,
10/08/2010,7.65,5.52,
11/08/2010,7.65,5.52,
12/08/2010,7.75,5.45,
13/08/2010,7.75,5.44,
16/08/2010,7.75,5.31,
17/08/2010,7.75,5.30,
18/08/2010,7.75,5.17,
19/08/2010,8.00,5.26,
20/08/2010,8.00,5.34,
23/08/2010,8.00,5.38,
24/08/2010,8.00,5.19,
25/08/2010,8.00,5.19,
26/08/2010,8.40,5.26,
27/08/2010,8.40,5.25,
30/08/2010,8.40,5.24,
31/08/2010,8.40,5.40,
01/09/2010,8.40,5.34,
02/09/2010,8.25,5.37,
03/09/2010,8.25,5.51,
06/09/2010,8.25,5.37,
07/09/2010,8.25,5.35,
08/09/2010,8.25,5.44,
09/09/2010,8.63,5.51,
10/09/2010,8.63,5.45,
13/09/2010,8.63,5.47,
14/09/2010,8.63,5.44,
15/09/2010,8.63,5.44,
16/09/2010,9.25,5.40,
17/09/2010,9.25,5.40,
20/09/2010,9.25,5.35,
21/09/2010,9.25,5.31,
22/09/2010,9.25,5.35,
23/09/2010,9.25,5.40,
24/09/2010,9.25,5.47,
27/09/2010,9.25,5.43,
28/09/2010,9.25,5.57,
29/09/2010,9.25,5.61,
30/09/2010,9.60,5.63,
01/10/2010,9.60,5.55,
04/10/2010,9.60,5.49,
05/10/2010,9.60,5.55,
06/10/2010,9.60,5.54,
07/10/2010,9.40,5.49,
08/10/2010,9.40,5.47,
11/10/2010,9.40,5.56,
12/10/2010,9.40,5.57,
13/10/2010,9.40,5.52,
14/10/2010,9.40,5.56,
15/10/2010,9.40,5.57,
18/10/2010,9.40,5.56,
19/10/2010,9.40,5.47,
20/10/2010,9.40,5.50,
21/10/2010,9.40,5.47,
22/10/2010,9.40,5.47,
25/10/2010,9.40,5.50,
26/10/2010,9.40,5.59,
27/10/2010,9.40,5.59,
28/10/2010,9.40,5.55,
29/10/2010,9.40,5.51,
01/11/2010,9.40,5.47,
02/11/2010,9.40,5.47,
03/11/2010,9.40,5.54,
04/11/2010,9.40,5.50,
05/11/2010,9.40,5.47,
08/11/2010,9.40,5.38,
09/11/2010,9.40,5.38,
10/11/2010,9.40,5.42,
11/11/2010,9.40,5.46,
12/11/2010,9.40,5.50,
15/11/2010,9.30,5.68,
16/11/2010,9.30,5.69,
17/11/2010,9.30,5.67,
18/11/2010,9.30,5.71,
19/11/2010,9.30,5.72,
22/11/2010,9.40,6.09,
23/11/2010,9.40,6.03,
24/11/2010,9.40,6.13,
25/11/2010,9.40,6.09,
26/11/2010,9.40,6.12,
29/11/2010,9.40,6.39,
30/11/2010,9.40,6.38,
01/12/2010,9.40,6.64,
02/12/2010,9.40,6.60,
03/12/2010,9.40,6.87,
06/12/2010,9.40,7.00,
07/12/2010,9.45,6.87,
08/12/2010,9.45,7.05,
09/12/2010,9.45,6.95,
10/12/2010,9.50,6.94,
13/12/2010,9.50,6.82,
14/12/2010,9.50,6.52,
15/12/2010,9.50,6.56,
16/12/2010,9.50,6.78,
17/12/2010,9.50,6.85,
20/12/2010,9.50,6.78,
21/12/2010,9.50,6.67,
22/12/2010,9.50,6.69,
23/12/2010,9.50,6.69,
24/12/2010,9.65,6.70,
27/12/2010,9.65,6.69,
28/12/2010,9.65,6.69,
29/12/2010,9.65,7.08,
30/12/2010,9.65,6.98,
31/12/2010,9.75,7.07,
03/01/2011,9.75,7.06,
04/01/2011,9.75,6.72,
05/01/2011,9.75,6.62,
06/01/2011,9.75,6.67,
07/01/2011,9.75,6.68,
10/01/2011,10.00,6.58,
11/01/2011,10.00,6.63,
12/01/2011,10.00,6.73,
13/01/2011,10.00,6.67,
14/01/2011,10.00,6.54,
17/01/2011,10.00,6.59,
18/01/2011,10.00,6.61,
19/01/2011,10.00,6.62,
20/01/2011,10.00,6.61,
21/01/2011,10.00,6.54,
24/01/2011,10.00,6.46,
25/01/2011,10.00,6.31,
26/01/2011,10.00,6.35,
27/01/2011,10.00,6.32,
28/01/2011,10.00,6.23,
31/01/2011,10.45,6.11,
01/02/2011,10.45,6.21,
02/02/2011,10.45,6.37,
03/02/2011,10.45,6.47,
04/02/2011,10.45,6.52,
07/02/2011,10.50,6.40,
08/02/2011,10.50,6.30,
09/02/2011,10.50,6.22,
10/02/2011,10.50,6.22,
11/02/2011,10.50,6.32,
14/02/2011,10.50,6.27,
15/02/2011,10.50,6.27,
16/02/2011,10.50,6.19,
17/02/2011,10.50,6.26,
18/02/2011,10.50,6.21,
21/02/2011,10.50,6.33,
22/02/2011,10.50,6.45,
23/02/2011,10.50,6.45,
24/02/2011,10.50,6.44,
25/02/2011,10.50,6.38,
28/02/2011,10.50,6.50,
01/03/2011,10.50,6.53,
02/03/2011,10.20,6.60,
03/03/2011,10.20,6.73,
04/03/2011,10.20,6.70,
07/03/2011,10.20,6.95,
08/03/2011,10.20,6.80,
09/03/2011,10.20,6.87,
10/03/2011,10.20,6.79,
11/03/2011,10.20,6.99,
14/03/2011,10.20,7.41,
15/03/2011,10.20,7.53,
16/03/2011,10.20,7.58,
17/03/2011,10.20,7.38,
18/03/2011,10.50,7.17,
21/03/2011,10.50,7.02,
22/03/2011,10.50,7.09,
23/03/2011,10.50,7.23,
24/03/2011,10.50,7.26,
25/03/2011,11.25,7.14,
28/03/2011,11.25,7.19,
29/03/2011,11.25,7.06,
30/03/2011,11.25,6.91,
31/03/2011,11.25,7.26,
01/04/2011,11.75,7.29,
04/04/2011,11.75,7.27,
05/04/2011,11.75,7.14,
06/04/2011,11.75,7.03,
07/04/2011,11.75,6.95,
08/04/2011,11.75,7.02,
11/04/2011,11.75,6.99,
