Date,Transport
02/02/2015,1.32
09/02/2015,1.33
16/02/2015,1.31
23/02/2015,1.33
02/03/2015,1.33
09/03/2015,1.31
16/03/2015,1.28
23/03/2015,1.28
30/03/2015,1.23
06/04/2015,1.19
13/04/2015,1.14
20/04/2015,1.14
27/04/2015,1.10
04/05/2015,1.10
11/05/2015,1.16
18/05/2015,1.15
25/05/2015,1.14
01/06/2015,1.14
08/06/2015,1.14
15/06/2015,1.09
22/06/2015,1.03
29/06/2015,1.03
06/07/2015,0.98
13/07/2015,0.98
20/07/2015,0.98
27/07/2015,1.02
03/08/2015,1.00
10/08/2015,1.00
17/08/2015,1.09
24/08/2015,1.02
31/08/2015,1.03
07/09/2015,1.02
14/09/2015,0.98
21/09/2015,0.97
28/09/2015,1.00
05/10/2015,1.02
12/10/2015,1.02
19/10/2015,1.01
26/10/2015,1.02
02/11/2015,1.06
09/11/2015,1.05
16/11/2015,1.05
23/11/2015,1.04
30/11/2015,1.03
07/12/2015,1.01
14/12/2015,0.99
21/12/2015,0.98
28/12/2015,0.97
04/01/2016,0.96
11/01/2016,0.94
18/01/2016,0.90
25/01/2016,0.92
01/02/2016,0.90
08/02/2016,0.88
15/02/2016,0.88
22/02/2016,0.86
29/02/2016,0.87
07/03/2016,0.88
14/03/2016,0.88
21/03/2016,0.87
28/03/2016,0.87
04/04/2016,0.87
11/04/2016,0.87
18/04/2016,0.89
25/04/2016,0.90
02/05/2016,0.90
09/05/2016,0.89
16/05/2016,0.92
23/05/2016,0.92
30/05/2016,0.92
06/06/2016,0.94
13/06/2016,0.93
20/06/2016,0.95
27/06/2016,0.94
04/07/2016,0.94
11/07/2016,0.95
18/07/2016,0.99
25/07/2016,1.10
01/08/2016,1.10
08/08/2016,1.09
15/08/2016,1.11
22/08/2016,1.10
29/08/2016,1.09
05/09/2016,1.10
12/09/2016,1.11
19/09/2016,1.13
26/09/2016,1.13
03/10/2016,1.15
10/10/2016,1.16
17/10/2016,1.18
24/10/2016,1.07
31/10/2016,1.07
07/11/2016,1.08
14/11/2016,1.16
21/11/2016,1.17
28/11/2016,1.25
05/12/2016,1.26
12/12/2016,1.28
19/12/2016,1.28
26/12/2016,1.29
02/01/2017,1.30
09/01/2017,1.33
16/01/2017,1.29
23/01/2017,1.21
30/01/2017,1.21
06/02/2017,1.20
13/02/2017,1.18
20/02/2017,1.16
27/02/2017,1.09
06/03/2017,1.08
13/03/2017,0.92
20/03/2017,0.91
27/03/2017,0.91
03/04/2017,0.92
10/04/2017,0.98
17/04/2017,0.92
24/04/2017,0.91
01/05/2017,1.00
08/05/2017,1.05
15/05/2017,1.05
22/05/2017,1.05
29/05/2017,1.11
05/06/2017,1.10
12/06/2017,1.10
19/06/2017,1.09
26/06/2017,1.10
03/07/2017,1.11
10/07/2017,1.17
17/07/2017,1.19
24/07/2017,1.24
31/07/2017,1.21
07/08/2017,1.20
14/08/2017,1.17
21/08/2017,1.18
28/08/2017,1.19
04/09/2017,1.23
11/09/2017,1.28
18/09/2017,1.32
25/09/2017,1.32
02/10/2017,1.40
09/10/2017,1.44
16/10/2017,1.52
23/10/2017,1.61
30/10/2017,1.62
06/11/2017,1.79
13/11/2017,1.87
20/11/2017,2.04
27/11/2017,2.05
04/12/2017,2.05
11/12/2017,2.05
18/12/2017,1.91
25/12/2017,1.92
01/01/2018,1.84
08/01/2018,1.84
15/01/2018,1.83
22/01/2018,1.82
29/01/2018,1.81
05/02/2018,1.81
12/02/2018,1.71
19/02/2018,1.64
26/02/2018,1.41
05/03/2018,1.40
12/03/2018,1.39
19/03/2018,1.35
26/03/2018,1.35
02/04/2018,1.25
09/04/2018,1.23
